timestamp,open,high,low,close,volume
1599357600000,330.14,333.51,324.06,327.07,51535.97811
1599359400000,327.08,332.85,322.35,331.2,36741.34016
1599361200000,331.2,333.33,325.99,326.25,32508.3017
1599363000000,326.25,330.75,326.09,327.85,24097.50835
1599364800000,327.88,332.0,324.01,326.09,40111.74389
1599366600000,326.11,327.75,320.1,321.21,31643.23911
1599368400000,321.18,322.7,316.1,321.2,37891.67574
1599370200000,321.25,326.61,320.77,325.0,49503.91801
1599372000000,325.0,326.0,319.57,320.03,33768.69859
1599373800000,319.93,332.75,319.6,331.07,40984.81056
1599375600000,330.99,332.97,327.27,332.06,40211.82862
1599377400000,332.01,342.39,331.44,340.03,70798.92105
1599379200000,340.0,346.23,336.38,342.5,71882.65156
1599381000000,342.48,352.35,340.76,349.27,70819.75495
1599382800000,349.27,354.47,344.33,348.7,76349.40006
1599384600000,348.72,348.73,342.22,346.1,45579.51366
1599386400000,346.09,349.78,341.41,343.22,43202.40453
1599388200000,343.22,351.1,341.39,349.75,47911.21259
1599390000000,349.76,352.5,346.19,350.51,44291.11492
1599391800000,350.55,356.0,349.8,354.6,58912.68487
1599393600000,354.58,358.5,351.71,357.37,61659.54628
1599395400000,357.43,357.43,351.25,353.02,43929.05727
1599397200000,353.01,353.08,346.15,349.06,46088.98257
1599399000000,349.06,351.0,347.0,348.95,28749.19569
1599400800000,348.96,353.24,345.62,346.75,37964.83738
1599402600000,346.74,348.56,343.0,347.01,42429.77495
1599404400000,347.05,347.98,337.0,338.45,54947.72259
1599406200000,338.45,346.15,338.44,344.49,42076.70754
1599408000000,344.49,350.84,340.68,350.5,59111.91024
1599409800000,350.52,355.55,350.25,354.12,50888.51192
1599411600000,354.11,354.37,348.0,348.25,39270.35544
1599413400000,348.16,352.24,348.0,349.1,25020.37956
1599415200000,349.1,352.71,345.36,351.82,32699.14392
1599417000000,351.82,353.51,349.25,350.66,21340.34476
1599418800000,350.65,353.23,349.25,352.59,28877.70133
1599420600000,352.58,355.18,352.15,353.45,25908.49275
1599422400000,353.44,354.21,350.55,352.44,16370.71712
1599424200000,352.43,355.81,351.2,351.53,21013.22672
1599426000000,351.5,359.0,351.45,358.74,21363.55223
1599427800000,358.72,360.0,356.5,357.31,21713.91821
1599429600000,357.31,358.37,350.0,351.91,52602.4757
1599431400000,351.94,352.28,348.2,351.56,52037.32206
1599433200000,351.56,353.25,350.21,351.49,21895.55179
1599435000000,351.49,356.21,351.4,352.8,25979.45102
1599436800000,352.85,357.27,351.93,356.8,30564.25398
1599438600000,356.78,358.51,355.15,356.49,20733.97826
1599440400000,356.49,356.5,353.13,354.0,21626.94301
1599442200000,354.0,357.1,353.56,357.09,11749.56136
1599444000000,357.09,357.09,350.3,352.05,32952.38872
1599445800000,352.05,352.27,348.39,349.54,21978.9677
1599447600000,349.54,350.7,344.27,346.73,36961.18195
1599449400000,346.76,349.64,345.99,348.25,21835.4827
1599451200000,348.22,350.8,345.52,350.38,21939.87339
1599453000000,350.39,351.39,346.03,346.33,23627.378
1599454800000,346.33,347.32,343.37,344.72,33291.62883
1599456600000,344.73,345.9,340.15,342.03,39922.34392
1599458400000,342.02,343.58,339.25,340.25,44190.85863
1599460200000,340.23,344.21,338.85,340.44,33442.34693
1599462000000,340.41,347.45,338.15,347.23,35682.12125
1599463800000,347.27,347.3,343.5,343.5,25430.29689
1599465600000,343.51,349.54,342.55,348.33,30722.7707
1599467400000,348.32,348.78,345.16,345.48,21366.08774
1599469200000,345.48,347.62,343.65,347.58,20748.92897
1599471000000,347.58,348.5,342.7,343.73,25740.48685
1599472800000,343.73,345.68,340.19,340.86,36626.69108
1599474600000,340.87,342.36,338.02,339.22,38893.89095
1599476400000,339.21,344.14,335.38,338.62,77244.64523
1599478200000,338.62,339.54,332.55,335.72,72430.18975
1599480000000,335.77,338.19,330.21,333.0,74668.92939
1599481800000,333.02,333.05,323.0,328.09,106648.35974
1599483600000,328.11,338.0,324.7,333.75,87266.52462
1599485400000,333.7,341.35,332.0,337.63,61187.21904
1599487200000,337.63,339.6,336.83,338.55,37859.0064
1599489000000,338.55,339.4,332.37,334.53,47257.79173
1599490800000,334.5,345.94,332.2,344.9,61226.90532
1599492600000,344.89,347.39,342.48,346.19,56529.58734
1599494400000,346.14,353.15,344.36,348.21,75829.76081
1599496200000,348.2,349.82,346.65,348.53,39192.08212
1599498000000,348.54,349.06,345.6,348.78,27415.05421
1599499800000,348.77,349.23,345.71,346.5,23900.4596
1599501600000,346.5,348.73,344.5,344.71,21248.87628
1599503400000,344.72,347.71,344.72,346.82,20470.12779
1599505200000,346.84,350.5,346.84,349.57,23923.1616
1599507000000,349.58,350.0,344.7,345.94,24635.25798
1599508800000,345.94,346.12,342.2,344.88,22097.84165
1599510600000,344.97,346.39,344.0,345.23,12609.91365
1599512400000,345.25,348.6,345.25,347.75,9603.61512
1599514200000,347.75,347.97,343.75,344.85,7525.81042
1599516000000,344.84,351.59,344.84,350.78,24139.99572
1599517800000,350.78,355.42,350.78,352.63,51960.22791
1599519600000,352.63,354.92,351.49,352.95,21850.19108
1599521400000,352.95,354.43,351.15,353.59,21868.42831
1599523200000,353.59,356.58,350.77,351.25,36870.16256
1599525000000,351.26,352.3,348.15,348.17,26772.84713
1599526800000,348.16,352.2,347.71,351.15,19702.266
1599528600000,351.14,351.15,347.05,347.47,17283.38594
1599530400000,347.49,350.78,347.3,350.59,12739.32505
1599532200000,350.6,351.85,349.13,351.11,12252.25157
1599534000000,351.11,353.75,349.24,349.53,20027.50307
1599535800000,349.54,350.47,348.39,348.8,14298.7503
1599537600000,348.79,350.45,346.79,347.07,16786.14986
1599539400000,347.08,347.88,344.15,346.0,23570.91549
1599541200000,346.18,346.78,344.15,344.44,27240.63969
1599543000000,344.43,346.07,343.86,344.64,15533.59994
1599544800000,344.63,347.41,344.42,346.97,20622.72084
1599546600000,346.98,350.5,344.54,349.55,24275.55189
1599548400000,349.56,350.25,347.4,348.55,17565.99151
1599550200000,348.55,348.71,345.52,346.74,18978.61013
1599552000000,346.74,350.96,344.7,345.61,29302.49455
1599553800000,345.61,345.79,342.05,343.9,36500.97707
1599555600000,343.91,345.44,342.61,343.6,20022.8326
1599557400000,343.54,344.72,336.41,336.59,48361.1794
1599559200000,336.52,339.11,335.41,336.06,45268.7026
1599561000000,336.1,339.5,333.46,338.34,42985.28595
1599562800000,338.33,340.36,335.09,335.42,30042.3669
1599564600000,335.42,337.38,330.2,333.77,52622.14453
1599566400000,333.75,336.0,331.83,335.34,42657.73547
1599568200000,335.36,339.02,333.92,337.16,43872.18105
1599570000000,337.1,338.75,333.0,333.52,29745.15716
1599571800000,333.56,337.28,331.85,335.15,68665.76824
1599573600000,335.17,345.0,334.41,344.65,63292.59293
1599575400000,344.6,345.0,341.1,341.77,40868.89252
1599577200000,341.8,344.29,341.0,342.48,22963.02763
1599579000000,342.51,342.54,339.18,341.27,19728.69722
1599580800000,341.34,344.36,340.92,342.68,21052.53365
1599582600000,342.73,344.22,342.24,343.99,13938.73288
1599584400000,344.0,344.08,341.16,342.11,14885.80916
1599586200000,342.12,346.38,341.41,344.95,21006.26857
1599588000000,344.93,345.4,341.14,342.04,15601.02643
1599589800000,342.04,342.04,332.5,334.66,59066.25395
1599591600000,334.68,337.47,332.5,336.68,33825.38485
1599593400000,336.69,338.2,334.02,334.42,24681.29544
1599595200000,334.52,338.0,334.47,337.57,25895.50379
1599597000000,337.6,339.39,335.48,335.86,13493.95852
1599598800000,335.86,336.32,333.86,334.86,6727.9786
1599600600000,334.8,339.8,333.85,338.46,13793.12333
1599602400000,338.48,339.45,325.38,329.22,62593.22281
1599604200000,329.25,341.38,327.08,336.23,78363.09741
1599606000000,336.23,339.0,335.04,335.67,20089.06632
1599607800000,335.68,338.48,335.2,337.39,13812.86712
1599609600000,337.41,341.58,335.44,340.99,17906.68879
1599611400000,340.93,341.76,338.2,338.62,17510.34612
1599613200000,338.67,339.68,336.55,337.73,10438.80069
1599615000000,337.68,339.86,336.79,339.63,10542.90742
1599616800000,339.69,340.52,334.26,335.1,16533.25503
1599618600000,335.08,335.32,332.38,333.0,22468.59424
1599620400000,333.0,334.58,330.51,333.44,20391.23818
1599622200000,333.43,334.67,331.8,333.95,10193.70915
1599624000000,333.97,335.49,332.28,335.2,10961.03784
1599625800000,335.22,337.59,334.57,335.2,12064.30159
1599627600000,335.21,338.69,335.0,337.9,16526.19005
1599629400000,337.87,338.58,336.05,336.77,11904.4446
1599631200000,336.75,338.24,334.51,335.8,16580.92567
1599633000000,335.8,337.31,334.56,337.24,9557.60346
1599634800000,337.29,339.0,337.03,337.85,12328.34806
1599636600000,337.82,342.84,337.74,342.4,24347.84699
1599638400000,342.35,343.68,339.88,340.09,22681.14198
1599640200000,340.09,341.85,339.67,340.78,12410.21429
1599642000000,340.78,345.12,340.2,344.77,25607.13786
1599643800000,344.78,347.35,343.55,346.47,24314.77622
1599645600000,346.51,347.62,344.06,345.3,17755.52101
1599647400000,345.26,346.14,343.66,345.41,12455.97788
1599649200000,345.47,350.0,345.47,348.39,34190.68864
1599651000000,348.41,349.01,346.84,347.56,15579.69
1599652800000,347.59,349.58,344.86,345.43,23654.68971
1599654600000,345.45,347.09,345.03,346.71,17203.56516
1599656400000,346.71,351.9,346.57,350.76,31321.70246
1599658200000,350.72,351.0,346.52,347.18,22577.7807
1599660000000,347.13,349.85,345.5,349.6,22099.84603
1599661800000,349.59,351.5,348.93,350.91,23255.01613
1599663600000,350.95,354.85,350.95,353.42,39031.44216
1599665400000,353.4,354.66,352.3,352.46,23114.40717
1599667200000,352.48,354.38,348.55,349.95,36426.51524
1599669000000,349.94,352.07,349.43,351.64,15468.22033
1599670800000,351.63,352.23,350.16,350.31,15222.46269
1599672600000,350.34,352.05,349.26,351.63,15532.34813
1599674400000,351.75,353.79,350.84,353.38,13899.4292
1599676200000,353.42,358.5,353.42,358.09,36332.01553
1599678000000,358.09,359.0,355.34,357.25,22908.10898
1599679800000,357.26,358.3,355.86,355.97,12919.91848
1599681600000,355.99,357.11,353.64,354.88,15303.15526
1599683400000,354.9,355.23,353.0,353.18,8560.94285
1599685200000,353.18,355.3,351.34,354.15,11412.46271
1599687000000,354.15,356.0,353.15,353.52,8583.88162
1599688800000,353.46,355.38,352.85,354.78,7579.68818
1599690600000,354.78,356.82,352.76,356.33,11961.6585
1599692400000,356.31,357.0,350.6,350.78,24513.16833
1599694200000,350.74,352.56,350.21,350.85,15626.75124
1599696000000,350.85,357.57,349.91,357.35,25981.17362
1599697800000,357.29,358.95,355.95,356.07,23343.39797
1599699600000,356.06,358.65,354.43,357.44,16215.1477
1599701400000,357.45,368.67,357.4,367.1,74480.62897
1599703200000,367.1,371.5,365.56,369.29,36047.02101
1599705000000,369.28,370.92,367.0,367.07,24396.48008
1599706800000,367.07,369.24,366.39,366.79,15376.14531
1599708600000,366.85,370.68,366.39,370.21,15958.96209
1599710400000,370.36,370.89,367.8,369.77,18153.7855
1599712200000,369.75,375.48,369.6,372.86,36359.95729
1599714000000,372.86,373.86,370.68,372.71,19153.05399
1599715800000,372.74,372.75,370.14,370.86,15169.63444
1599717600000,370.8,372.56,369.6,372.01,16983.63788
1599719400000,372.0,373.42,367.5,368.07,40803.6442
1599721200000,368.07,368.95,366.12,367.56,20720.46967
1599723000000,367.55,367.55,361.37,363.83,37448.10257
1599724800000,363.94,365.07,360.0,364.88,31224.91943
1599726600000,364.88,366.57,363.58,363.91,22309.09554
1599728400000,363.9,366.03,362.12,363.77,19928.71346
1599730200000,363.84,365.21,361.3,364.39,26146.74768
1599732000000,364.4,368.34,364.24,367.0,26726.34519
1599733800000,367.0,367.0,362.52,363.8,16140.16328
1599735600000,363.83,366.39,363.0,365.71,7821.73225
1599737400000,365.7,367.25,362.52,365.41,25334.05454
1599739200000,365.41,371.0,365.05,370.05,33820.85131
1599741000000,370.02,374.0,369.17,372.58,31711.70422
1599742800000,372.58,373.61,369.82,371.39,24012.34458
1599744600000,371.41,376.8,370.56,376.18,45863.78683
1599746400000,376.23,377.25,371.02,371.13,40806.74749
1599748200000,371.13,373.8,366.82,367.43,34976.56434
1599750000000,367.47,370.9,366.02,370.64,32293.73326
1599751800000,370.64,371.42,367.85,370.91,25575.07409
1599753600000,370.96,373.1,366.09,368.11,29152.92092
1599755400000,368.11,368.9,365.33,366.61,21605.70169
1599757200000,366.61,368.66,365.68,366.11,17810.79254
1599759000000,366.12,369.66,366.11,367.88,13296.24905
1599760800000,367.83,369.5,362.75,363.63,24037.66654
1599762600000,363.63,364.78,361.46,363.9,23730.18978
1599764400000,363.89,365.1,361.41,364.51,20472.36944
1599766200000,364.47,365.56,363.02,363.21,12247.87475
1599768000000,363.19,367.9,362.75,366.12,18771.21707
1599769800000,366.15,367.47,365.1,365.56,9902.46928
1599771600000,365.56,366.17,363.38,364.02,9088.07496
1599773400000,364.02,367.5,363.78,367.2,7065.90962
1599775200000,367.16,368.73,366.56,367.3,8855.40966
1599777000000,367.3,369.3,365.73,368.99,14483.94302
1599778800000,369.0,369.2,366.45,366.98,13561.50986
1599780600000,366.94,368.17,366.25,367.93,8921.49341
1599782400000,367.93,372.0,367.7,370.86,18517.65561
1599784200000,370.91,371.3,368.8,369.13,13667.04677
1599786000000,369.13,369.75,366.5,368.49,14829.84744
1599787800000,368.5,368.5,364.65,365.53,13364.71247
1599789600000,365.53,366.44,363.3,365.54,15560.81377
1599791400000,365.5,365.66,362.46,362.92,14075.4904
1599793200000,362.93,364.29,361.84,363.57,17725.93115
1599795000000,363.58,364.05,356.61,357.05,40635.76174
1599796800000,357.03,360.59,355.49,359.93,29747.55115
1599798600000,359.95,360.0,356.9,357.51,18603.49192
1599800400000,357.51,360.33,356.84,359.65,12914.38083
1599802200000,359.66,363.06,359.0,361.95,23905.9611
1599804000000,361.95,362.39,360.29,361.06,16144.04306
1599805800000,361.07,363.87,360.34,362.39,13367.36967
1599807600000,362.39,364.31,362.2,363.97,14211.90185
1599809400000,363.97,363.98,361.27,362.3,14459.42275
1599811200000,362.29,368.69,362.05,365.83,34249.62647
1599813000000,365.83,366.03,363.27,364.78,16091.40018
1599814800000,364.8,368.5,364.79,367.8,19132.27088
1599816600000,367.82,368.03,365.49,367.74,13674.10755
1599818400000,367.63,367.95,363.11,364.85,18190.59821
1599820200000,364.84,366.75,364.17,365.01,15788.04691
1599822000000,365.01,367.4,362.45,365.49,19880.49536
1599823800000,365.46,365.55,361.0,362.31,20607.20233
1599825600000,362.3,364.36,362.3,362.72,14802.21745
1599827400000,362.72,365.67,361.38,365.24,15603.40546
1599829200000,365.25,366.8,363.81,365.37,14873.85958
1599831000000,365.37,368.3,364.14,364.93,25194.60533
1599832800000,364.93,366.44,363.28,365.95,22147.24236
1599834600000,365.98,367.9,365.5,366.57,14626.19769
1599836400000,366.56,370.82,366.56,369.48,32555.40567
1599838200000,369.48,370.41,367.93,369.94,19182.34815
1599840000000,369.93,372.64,367.89,370.31,34817.81922
1599841800000,370.34,371.14,366.6,367.37,18826.40279
1599843600000,367.38,368.0,364.75,366.39,18933.77357
1599845400000,366.39,367.89,365.29,366.76,9230.32271
1599847200000,366.8,368.38,366.17,367.18,8444.37645
1599849000000,367.19,368.75,366.79,368.07,10776.74815
1599850800000,368.08,369.17,365.91,368.77,9802.88615
1599852600000,368.77,369.94,368.5,368.84,9129.53418
1599854400000,368.8,370.17,367.81,369.01,12506.75043
1599856200000,369.01,370.31,367.83,368.36,12310.73496
1599858000000,368.36,370.26,368.36,369.24,8633.98636
1599859800000,369.21,370.51,368.75,369.99,7200.34845
1599861600000,369.99,374.87,369.96,372.51,23100.35084
1599863400000,372.55,375.27,372.13,373.28,24568.5615
1599865200000,373.3,374.49,372.09,372.68,13799.78063
1599867000000,372.68,374.39,372.68,373.63,13604.81201
1599868800000,373.62,374.54,369.54,370.15,23137.37959
1599870600000,370.16,371.72,369.94,371.16,11750.49067
1599872400000,371.15,373.08,371.15,372.51,10700.62665
1599874200000,372.54,373.53,371.06,372.58,9712.15485
1599876000000,372.58,372.85,370.0,370.85,11026.43704
1599877800000,370.86,370.92,367.55,369.34,20327.7803
1599879600000,369.35,369.95,368.3,369.59,8271.04526
1599881400000,369.59,370.35,368.91,369.26,10345.16398
1599883200000,369.26,371.25,368.58,371.25,12357.75191
1599885000000,371.25,371.31,370.0,370.87,7501.16292
1599886800000,370.84,372.27,370.6,371.35,10762.64811
